uid,receptor_chains,ligand_chains,dG,fold_id,cluster_id,source,Subgroup,fold_id_old,KD
1a22,B,A,-12.91,,,,,,3.405187457916308e-10
1b27,A,D,-19.09,,,,,,9.997453692757152e-15
1b6c,B,A,-8.94,,,,,,2.777384454502083e-07
1buh,A,B,-9.7,,,,,,7.696118090690178e-08
1dee,B,A,-8.72,,,,,,4.026969044437869e-07
1e6e,A,B,-8.27,,,,,,8.609870380422949e-07
1f47,B,A,-6.36,,,,,,2.166411973126981e-05
1gla,G,F,-9.2,,,,,,1.790435777406816e-07
1gua,A,B,-10.09,,,,,,3.9834176542341175e-08
1gxd,A,C,-11.3,,,,,,5.1626566698850425e-09
1h59,A,B,-10.13,,,,,,3.723238714844474e-08
1i8l,A,C,-9.13,,,,,,2.015092241991727e-07
1iar,B,A,-13.35,,,,,,1.6197815336632366e-10
1j2j,A,B,-7.98,,,,,,1.4049959991884488e-06
1ktz,B,A,-8.91,,,,,,2.921710772534149e-07
1kxq,A,H,-11.53,,,,,,3.5010411310045062e-09
1kxt,A,B,-9.04,,,,,,2.345841123874771e-07
1kxv,A,C,-11.53,,,,,,3.5010411310045062e-09
1l4d,A,B,-9.14,,,,,,1.981349960226726e-07
1lfd,B,A,-7.79,,,,,,1.936494005319898e-06
1lp1,A,B,-7.77,,,,,,2.003012400055578e-06
1lx5,A,B,-12.16,,,,,,1.2082910594341794e-09
1lzw,B,A,-8.84,,,,,,3.2883149372743394e-07
1m10,B,A,-11.23,,,,,,5.810445442851764e-09
1m5n,S,Q,-11.83,,,,,,2.1095265623850953e-09
1m9e,A,D,-5.7,,,,,,6.60340477878531e-05
1mq8,A,B,-7.53,,,,,,3.0039549111344034e-06
1mzw,A,B,-7.78,,,,,,1.969472392619159e-06
1ohz,A,B,-10.78,,,,,,1.2423036175202677e-08
1op9,B,A,-12.48,,,,,,7.038690453173264e-10
1pvh,A,B,-9.68,,,,,,7.960479054205976e-08
1r6q,A,C,-8.84,,,,,,3.2883149372743394e-07
1ri8,B,A,-11.64,,,,,,2.907542473061447e-09
1rjc,B,A,-13.79,,,,,,7.70498614018125e-11
1ry7,B,A,-9.05,,,,,,2.306560523945763e-07
1s0w,A,C,-9.24,,,,,,1.673492558782524e-07
1shy,B,A,-9.61,,,,,,8.959326990159503e-08
1shz,A,C,-7.53,,,,,,3.0039549111344034e-06
1sq0,B,A,-10.26,,,,,,2.9893877838254615e-08
1sv0,C,A,-10.85,,,,,,1.1038029906818154e-08
1syq,A,B,-10.68,,,,,,1.4708390606493089e-08
1t0p,A,B,-6.28,,,,,,2.4797675419955584e-05
1tdq,A,B,-10.8,,,,,,1.2010477359243812e-08
1u0s,Y,A,-9.05,,,,,,2.306560523945763e-07
1uad,A,C,-9.36,,,,,,1.3665291482840786e-07
1us7,A,B,-7.46,,,,,,3.380878729695144e-06
1usu,A,B,-7.47,,,,,,3.324266649943442e-06
1usv,A,B,-7.47,,,,,,3.324266649943442e-06
1vet,A,B,-10.76,,,,,,1.2849766349346054e-08
1vyt,A,E,-10.5,,,,,,1.9932991595123004e-08
1wqj,B,I,-8.27,,,,,,8.609870380422949e-07
1wrd,A,B,-4.62,,,,,,0.0004090834338839
1x1u,A,D,-10.74,,,,,,1.3291154666551744e-08
1x1w,A,D,-10.33,,,,,,2.656110092217771e-08
1x1x,A,D,-9.92,,,,,,5.307981886431127e-08
1x1y,A,D,-6.68,,,,,,1.2620058018164804e-05
1xqs,A,C,-7.07,,,,,,6.531989415264845e-06
1xxm,A,C,-8.94,,,,,,2.777384454502083e-07
1y6k,R,L,-12.27,,,,,,1.0034608117035556e-09
1y6m,R,L,-9.22,,,,,,1.7309768775082772e-07
1y8n,A,B,-8.09,,,,,,1.1668202084074815e-06
1ycs,B,A,-10.26,,,,,,2.9893877838254615e-08
1yd8,H,U,-5.1,,,,,,0.0001818831006366
1ydi,A,B,-11.93,,,,,,1.7817533881301675e-09
1yru,A,B,-12.27,,,,,,1.0034608117035556e-09
1z0k,A,B,-6.97,,,,,,7.733620863872807e-06
1zc3,A,D,-10.06,,,,,,4.190415285508253e-08
1zhi,A,B,-9.13,,,,,,2.015092241991727e-07
1zmy,A,L,-11.07,,,,,,7.612885108682318e-09
1zv5,L,A,-10.91,,,,,,9.974453808751744e-09
1zvh,L,A,-9.76,,,,,,6.954553942173195e-08
1zvy,B,A,-13.64,,,,,,9.926084527997668e-11
2a6d,H,L,-9.3,,,,,,1.5122421634820338e-07
2a6k,B,A,-9.11,,,,,,2.0843104790807097e-07
2a78,B,A,-9.85,,,,,,5.97400546556979e-08
2a9k,B,A,-9.85,,,,,,5.97400546556979e-08
2ajf,A,E,-10.91,,,,,,9.974453808751744e-09
2aq1,B,A,-11.26,,,,,,5.523421756326616e-09
2aq2,B,A,-10.85,,,,,,1.1038029906818154e-08
2arp,F,A,-8.68,,,,,,4.3083725791506585e-07
2b0z,A,B,-5.45,,,,,,0.0001007190062159
2b10,A,B,-6.82,,,,,,9.962973716716144e-06
2b11,A,B,-7.23,,,,,,4.985464457804071e-06
2b12,A,B,-6.41,,,,,,1.9910049729588863e-05
2be6,A,D,-11.7,,,,,,2.627384446260786e-09
2c0l,A,B,-9.49,,,,,,1.0971860401630097e-07
2c7m,B,A,-7.08,,,,,,6.422612671737699e-06
2c7n,B,A,-7.08,,,,,,6.422612671737699e-06
2ccl,A,B,-10.7,,,,,,1.4219937049110154e-08
2d10,A,E,-11.96,,,,,,1.6937385481373096e-09
2dsp,B,I,-7.53,,,,,,3.0039549111344034e-06
2dvw,A,B,-9.78,,,,,,6.723598924459264e-08
2dx5,A,B,-4.75,,,,,,0.0003284530253035
2efd,A,B,-11.09,,,,,,7.3600674542720605e-09
2efh,A,B,-10.15,,,,,,3.599593018730801e-08
2f31,A,B,-9.53,,,,,,1.0255227788579119e-07
2f4m,A,B,-9.8,,,,,,6.500313732970102e-08
2f9z,A,C,-8.24,,,,,,9.05728085279218e-07
2fdb,P,M,-9.29,,,,,,1.537995565052391e-07
2fju,B,A,-7.19,,,,,,5.333847399199849e-06
2g45,A,B,-7.57,,,,,,2.8077500763432324e-06
2gox,A,B,-12.4,,,,,,8.056785293122074e-10
2gww,A,B,-13.58,,,,,,1.0984503009228402e-10
2hle,A,B,-10.09,,,,,,3.9834176542341175e-08
2hqs,A,H,-10.32,,,,,,2.7013435022309218e-08
2hrk,A,B,-10.97,,,,,,9.013359233740436e-09
2hth,B,A,-5.43,,,,,,0.0001041786950115
2i25,L,N,-12.27,,,,,,1.0034608117035556e-09
2i26,L,N,-10.95,,,,,,9.32296731192576e-09
2i32,A,E,-8.03,,,,,,1.2912382575756648e-06
2i3s,A,B,-7.42,,,,,,3.617133643619944e-06
2i3t,A,B,-7.59,,,,,,2.714507005111046e-06
2i9b,E,A,-12.3,,,,,,9.538919749781336e-10
