uid,split_0,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24
1a22,train,train,val,train,val,train,val,train,train,train,train,train,val,train,val,train,train,val,train,train,train,train,train,train,train
1a4y,train,train,train,train,train,train,val,train,train,train,train,train,train,val,train,val,train,val,train,val,train,val,train,train,train
1ak4,val,train,val,train,train,train,train,train,train,train,train,val,train,train,train,val,train,val,train,val,train,train,train,train,train
1ava,val,train,train,train,train,train,val,train,val,train,train,train,train,train,val,train,train,train,train,val,train,val,train,val,train
1b27,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1b2s,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1b2u,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1b3s,train,train,train,train,val,train,train,val,train,train,val,train,train,train,train,val,train,train,val,train,train,train,train,val,train
1b41,train,train,train,val,train,train,train,train,train,train,val,train,train,val,train,train,train,train,train,val,val,val,train,train,train
1b6c,train,train,val,train,train,val,train,train,val,val,train,train,train,train,val,train,train,val,train,train,train,train,val,val,val
1bj1,val,train,train,val,train,train,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,train,val
1bp3,train,train,val,train,val,train,val,train,train,train,train,train,val,train,val,train,train,val,train,train,train,train,train,train,train
1buh,val,train,train,train,train,val,train,train,val,train,val,train,train,val,val,train,train,train,train,val,train,train,val,train,train
1bvk,val,train,train,val,val,train,train,val,train,train,train,val,train,train,train,val,val,train,train,train,train,train,val,train,train
1c1y,val,train,train,train,train,train,train,val,val,val,train,train,train,train,train,train,train,train,val,train,train,train,train,train,train
1clv,train,train,train,train,train,train,val,train,val,train,train,val,train,train,train,train,val,val,train,train,train,train,train,train,train
1cse,train,val,train,val,val,train,val,val,train,train,train,train,train,train,train,val,val,train,train,train,train,train,train,train,val
1cz8,val,train,train,val,train,train,train,train,train,train,val,train,val,val,val,train,train,val,train,train,train,train,train,train,val
1dee,train,val,train,train,train,val,train,train,val,train,train,val,train,train,train,train,train,train,val,val,train,train,train,train,val
